OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 00:05:00,SKBO 100000Z 14012KT 9999 NSC 15/09 Q1025 NOSIG =,2026-05-10 00:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 01:05:00,SKBO 100100Z 13007KT 9999 FEW020 15/08 Q1026 NOSIG =,2026-05-10 01:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 02:05:00,SKBO 100200Z 11006KT 070V140 9999 FEW030 15/09 Q1027 NOSIG =,2026-05-10 02:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 03:05:00,SKBO 100300Z 11007KT 070V140 9999 FEW040 14/07 Q1027 NOSIG =,2026-05-10 03:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 04:05:00,SKBO 100400Z 11006KT 070V140 9999 NSC 14/07 Q1027 NOSIG =,2026-05-10 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 05:05:00,SKBO 100500Z VRB02KT 9999 FEW060 10/09 Q1027 NOSIG =,2026-05-10 05:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 06:05:00,SKBO 100600Z VRB04KT 9999 SCT060 11/09 Q1026 NOSIG =,2026-05-10 06:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 07:05:00,SKBO 100700Z VRB01KT 9999 SCT070 11/09 Q1026 NOSIG =,2026-05-10 07:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 08:05:00,SKBO 100800Z 05005KT 9999 BKN070 11/10 Q1025 NOSIG =,2026-05-10 08:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 09:05:00,SKBO 100900Z 08005KT 050V110 9999 FEW060 11/10 Q1025 NOSIG =,2026-05-10 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 10:05:00,SKBO 101000Z 05003KT 020V080 9999 FEW050 12/10 Q1026 NOSIG =,2026-05-10 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 10:05:00,SKBO 101028Z 07007KT 9999 SCT030 11/10 Q1026 NOSIG =,2026-05-10 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 11:05:00,SKBO 101100Z 07007KT 9999 BKN035 12/10 Q1026 NOSIG =,2026-05-10 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 12:05:00,SKBO 101200Z 06006KT 030V130 9999 BKN025 13/11 Q1027 NOSIG =,2026-05-10 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,10-05-2026 12:05:00,SKBO 101230Z 07005KT 040V150 9999 BKN025 15/11 Q1028 NOSIG =,2026-05-10 12:05:00
